,MAE,RMSE,Model,Dataset,Type
315,0.1688503577159001,0.3154337477502963,XGBoost,COVID-19,Idiographic
316,0.5890379349390665,0.726655479726712,XGBoost,COVID-19,Idiographic
317,0.6570707651285025,0.8335573962138456,XGBoost,COVID-19,Idiographic
318,0.8682019343742957,1.1520173847771902,XGBoost,COVID-19,Idiographic
319,0.6980414715680209,0.7868484194407692,XGBoost,COVID-19,Idiographic
320,0.6602075425061312,0.9457239639769228,XGBoost,COVID-19,Idiographic
321,0.5756342013676962,0.6540558627394691,XGBoost,COVID-19,Idiographic
322,0.4844838747611412,0.5323163972179374,XGBoost,COVID-19,Idiographic
323,0.5102839767932892,0.5554337705380116,XGBoost,COVID-19,Idiographic
324,0.7883603022648737,1.011606796608399,XGBoost,COVID-19,Idiographic
325,0.5337817072868347,0.6324338351512777,XGBoost,COVID-19,Idiographic
326,0.9064948161443076,1.050218966751719,XGBoost,COVID-19,Idiographic
327,0.254537203095176,0.4180135668508371,XGBoost,COVID-19,Idiographic
328,0.5364760359128317,0.7037950514075566,XGBoost,COVID-19,Idiographic
329,0.2910764434120871,0.5137773889099055,XGBoost,COVID-19,Idiographic
330,0.6393572390079498,0.8824429898476708,XGBoost,COVID-19,Idiographic
331,0.2985885143280029,0.520374291220412,XGBoost,COVID-19,Idiographic
332,0.7044884562492371,0.8754463055551632,XGBoost,COVID-19,Idiographic
333,0.4599745056845925,0.4897724623681219,XGBoost,COVID-19,Idiographic
334,0.6487138171990713,0.776571263553232,XGBoost,COVID-19,Idiographic
335,1.1796663800875349,1.373647272698794,XGBoost,COVID-19,Idiographic
336,0.6032978892326355,0.6946385393300178,XGBoost,COVID-19,Idiographic
337,0.6256164014339447,0.942800164006984,XGBoost,COVID-19,Idiographic
338,0.5652222832043966,0.6666164536200214,XGBoost,COVID-19,Idiographic
339,0.7800967747514899,0.9348404437524708,XGBoost,COVID-19,Idiographic
340,0.2282904432370112,0.3764937969156209,XGBoost,COVID-19,Idiographic
341,0.5523469150066376,0.6826115181973486,XGBoost,COVID-19,Idiographic
342,0.4877583503723144,0.7096586071820105,XGBoost,COVID-19,Idiographic
343,0.5467948118845621,0.6135704168305993,XGBoost,COVID-19,Idiographic
