,MAE,RMSE,Model,Dataset
110,8.569527854518219,12.393242187452007,RF,Alcohol
111,17.78149055544208,22.35349829688253,RF,Alcohol
112,6.836931705861558,9.236168158859517,3-Layer LSTM,Alcohol
113,18.544227424591764,21.679126609854237,3-Layer LSTM,Alcohol
114,15.405522323901472,19.36784294903133,3-Layer LSTM,Alcohol
115,7.102283810547724,11.959658718091617,3-Layer LSTM,Alcohol
116,9.638172739809821,12.208676420833696,3-Layer LSTM,Alcohol
117,11.355831543414082,14.42678032267693,3-Layer LSTM,Alcohol
118,12.094141612602005,19.81810854969442,3-Layer LSTM,Alcohol
119,7.6979287792087945,11.213859328469864,3-Layer LSTM,Alcohol
120,13.018449578101817,14.815150241873486,3-Layer LSTM,Alcohol
121,4.6829347933809276,7.502257388372765,3-Layer LSTM,Alcohol
122,23.397649630384326,29.525624576500384,3-Layer LSTM,Alcohol
123,5.950658746417005,9.347642357190297,3-Layer LSTM,Alcohol
124,6.645592196020262,9.147998918544005,3-Layer LSTM,Alcohol
125,11.870128152561554,18.010316454160886,3-Layer LSTM,Alcohol
126,13.519467933322545,23.20010163907753,3-Layer LSTM,Alcohol
127,21.766340741451756,26.4872190929325,3-Layer LSTM,Alcohol
128,7.8107130722729,9.814978749670985,3-Layer LSTM,Alcohol
129,4.398596424752253,6.225287942345658,3-Layer LSTM,Alcohol
130,13.13605601182414,17.553213951084864,3-Layer LSTM,Alcohol
131,9.762841219750769,12.7544725459056,3-Layer LSTM,Alcohol
132,8.173857679516253,11.44969128085151,3-Layer LSTM,Alcohol
133,13.32695801116696,19.16102394807144,3-Layer LSTM,Alcohol
134,7.500963948975074,13.065378149512101,3-Layer LSTM,Alcohol
135,15.439704298973083,21.45010673763814,3-Layer LSTM,Alcohol
136,3.9902411539541425,5.822483445200165,3-Layer LSTM,Alcohol
137,12.364738699218403,18.428033243618092,3-Layer LSTM,Alcohol
138,8.979949157488974,13.06010548788379,3-Layer LSTM,Alcohol
139,17.371548103124862,24.293370145284236,3-Layer LSTM,Alcohol
140,4.222727776050301,5.805446955060289,1-Layer LSTM,Alcohol
141,20.98239240563583,23.80513006857842,1-Layer LSTM,Alcohol
142,16.82454819505912,20.19531530634759,1-Layer LSTM,Alcohol
143,6.022982243036058,11.103705407912795,1-Layer LSTM,Alcohol
144,11.35880236975567,14.796864233814459,1-Layer LSTM,Alcohol
145,13.521051875153374,17.72273700432874,1-Layer LSTM,Alcohol
146,14.125243918940276,24.908804169393118,1-Layer LSTM,Alcohol
147,9.232565873198968,15.012350837798207,1-Layer LSTM,Alcohol
148,15.36778851787402,16.43203962095431,1-Layer LSTM,Alcohol
149,3.3113302606790844,5.754960377804458,1-Layer LSTM,Alcohol
150,25.431895158208814,30.21364595791119,1-Layer LSTM,Alcohol
151,6.967627407396349,12.459894387050563,1-Layer LSTM,Alcohol
152,3.0473746324434816,4.188495258501623,1-Layer LSTM,Alcohol
153,8.97576006467155,15.537224657861401,1-Layer LSTM,Alcohol
154,16.22269631754055,28.83895178120376,1-Layer LSTM,Alcohol
155,19.696580255285227,24.66455351492356,1-Layer LSTM,Alcohol
156,6.9568550137371234,9.346956725234543,1-Layer LSTM,Alcohol
157,5.0055821969430845,8.174718070897544,1-Layer LSTM,Alcohol
158,13.785791535092438,18.72110367425039,1-Layer LSTM,Alcohol
159,7.24321378578697,9.924104375681274,1-Layer LSTM,Alcohol
160,9.262471352878938,14.705704462412696,1-Layer LSTM,Alcohol
161,14.258647374782225,20.90013490044693,1-Layer LSTM,Alcohol
162,4.71178886748179,10.248911032281585,1-Layer LSTM,Alcohol
163,15.400830755010247,23.409900699808485,1-Layer LSTM,Alcohol
164,3.004016761671103,5.798167535865678,1-Layer LSTM,Alcohol
165,15.915886812235996,24.59593906009248,1-Layer LSTM,Alcohol
166,9.760554605800854,14.162441475098493,1-Layer LSTM,Alcohol
167,16.952034034744383,22.932864348761775,1-Layer LSTM,Alcohol
168,8.460559901217527,11.402550734095058,GRU,Alcohol
169,18.282580103384173,21.711502796473443,GRU,Alcohol
170,15.538684850985824,19.093479175527314,GRU,Alcohol
171,7.10824551889674,11.775073281157354,GRU,Alcohol
172,10.58818929840387,13.867051966825086,GRU,Alcohol
173,12.386199866571461,16.08663410356417,GRU,Alcohol
174,11.674299966828993,19.524526466560044,GRU,Alcohol
175,8.139656899621558,11.319411539033517,GRU,Alcohol
176,12.86472517225834,14.723754442148412,GRU,Alcohol
177,4.258372184868211,7.800085429165119,GRU,Alcohol
178,23.06537041872114,29.894549074176346,GRU,Alcohol
179,5.3513149672134555,9.131565539334733,GRU,Alcohol
180,6.884886061690348,9.51319125393991,GRU,Alcohol
181,11.908700105406586,18.4253418557503,GRU,Alcohol
182,13.438629760420572,22.624638661291417,GRU,Alcohol
183,23.049778588274698,27.238088056253638,GRU,Alcohol
184,8.763115206547228,11.53801043335476,GRU,Alcohol
185,4.544441457452076,5.6246099368549345,GRU,Alcohol
186,12.052076518230933,15.852601593340726,GRU,Alcohol
187,8.914739121623562,12.09224651887594,GRU,Alcohol
188,8.433498904820029,11.90916957733244,GRU,Alcohol
189,14.70546079237713,20.06706729896811,GRU,Alcohol
190,6.517502695397819,12.68544191856003,GRU,Alcohol
191,15.65836826711893,21.529307791321017,GRU,Alcohol
192,4.345851476913022,6.320899936165166,GRU,Alcohol
193,13.033407309148426,19.065067816050778,GRU,Alcohol
194,10.394664348740326,14.95561669790885,GRU,Alcohol
195,15.709905967762994,22.017337518224693,GRU,Alcohol
196,0.8971285109270629,1.0454215104295213,Elastic Net,COVID-19
197,1.0410627930516563,1.1153395163128366,Elastic Net,COVID-19
198,0.4107326022327246,0.5197497370660524,Elastic Net,COVID-19
199,0.3348791655852401,0.5367364680691821,Elastic Net,COVID-19
200,0.6096511677301557,0.720006787914443,Elastic Net,COVID-19
201,0.33602878641701756,0.40227183468746913,Elastic Net,COVID-19
202,0.41877601662019137,0.7873821815035419,Elastic Net,COVID-19
203,0.3595925222303255,0.559904374136746,Elastic Net,COVID-19
204,0.9240858726027231,0.9994256119913288,Elastic Net,COVID-19
205,0.3604053892331247,0.6157239882352492,Elastic Net,COVID-19
206,0.5780659621457,0.7441758891160652,Elastic Net,COVID-19
207,0.8431231779299732,0.9504378129997868,Elastic Net,COVID-19
208,2.4364257616486067,2.5588969862123445,Elastic Net,COVID-19
209,0.6489178883880495,0.8074340127134043,Elastic Net,COVID-19
210,0.6539285526869055,0.7538989187488208,Elastic Net,COVID-19
