,MAE,RMSE,Model,Dataset
81,10.575527700663079,14.25007263526487,XGBoost,Alcohol
82,8.847607428377325,11.84106783347525,XGBoost,Alcohol
83,14.084473194954334,19.021503795970947,XGBoost,Alcohol
84,3.4855227513227516,5.240119374983848,RF,Alcohol
85,20.14191023535851,22.95637449140193,RF,Alcohol
86,13.017535324494784,16.89790933194565,RF,Alcohol
87,7.038551249778372,8.463298268521811,RF,Alcohol
88,22.508333333333336,25.05756797781786,RF,Alcohol
89,9.573337709595084,12.238930334887355,RF,Alcohol
90,21.89127873977874,26.98321306051202,RF,Alcohol
91,13.232502457216281,19.89075530071577,RF,Alcohol
92,10.651438340641324,12.882775429996153,RF,Alcohol
93,1.8643932998662804,2.3565967695266297,RF,Alcohol
94,17.75703703703704,23.993336523519698,RF,Alcohol
95,8.337391552891551,9.415652413887415,RF,Alcohol
96,4.265175115207374,5.304415624296471,RF,Alcohol
97,11.090975893582302,12.527950896052065,RF,Alcohol
98,26.22890370888786,41.7024316015837,RF,Alcohol
99,18.234667091726724,21.50346969143495,RF,Alcohol
100,6.266486750671972,7.563353023471904,RF,Alcohol
101,9.33333333333333,12.355781372836494,RF,Alcohol
102,15.859812855183225,20.117574415218083,RF,Alcohol
103,7.186933026372385,8.712219263049077,RF,Alcohol
104,8.363484527213666,11.594406300476068,RF,Alcohol
105,15.125490196078431,19.4225325650861,RF,Alcohol
106,5.1374494256651415,5.680713205972629,RF,Alcohol
107,10.52658327305302,12.876379351225328,RF,Alcohol
108,2.5051843778922875,7.268647604358471,RF,Alcohol
109,10.454001445933336,13.71299710316905,RF,Alcohol
110,7.965909090909091,10.845584471352963,RF,Alcohol
111,13.84727272727273,17.734301636812614,RF,Alcohol
112,3.899467507206154,5.53362026735062,3-Layer LSTM,Alcohol
113,20.769075486487026,26.9767694616957,3-Layer LSTM,Alcohol
114,10.895261704830629,13.80259488606275,3-Layer LSTM,Alcohol
115,3.9696226590608665,5.988776474137928,3-Layer LSTM,Alcohol
116,11.355266748566468,14.308158105579922,3-Layer LSTM,Alcohol
117,10.48169750285938,13.585276329256521,3-Layer LSTM,Alcohol
118,16.95037044279302,29.559303786207675,3-Layer LSTM,Alcohol
119,11.376958197781018,20.823571150377646,3-Layer LSTM,Alcohol
120,12.466826815160115,15.179801741886562,3-Layer LSTM,Alcohol
121,1.3128817546388245,2.392903903005738,3-Layer LSTM,Alcohol
122,20.94385087257555,27.292720082800294,3-Layer LSTM,Alcohol
123,6.16353394252254,9.870561278243523,3-Layer LSTM,Alcohol
124,1.9578686434627468,2.5135153127845666,3-Layer LSTM,Alcohol
125,5.451462596596117,7.724581639576248,3-Layer LSTM,Alcohol
126,24.079024218086754,44.24741721014194,3-Layer LSTM,Alcohol
127,18.409901561907358,22.36328934284363,3-Layer LSTM,Alcohol
128,7.686411621523742,8.718119897755304,3-Layer LSTM,Alcohol
129,9.417128653791094,12.088950029241872,3-Layer LSTM,Alcohol
130,14.72940477229145,19.300319095116805,3-Layer LSTM,Alcohol
131,6.432119647188425,8.899053612536585,3-Layer LSTM,Alcohol
132,7.0152820392245125,10.798743314944833,3-Layer LSTM,Alcohol
133,20.60969854681749,26.19364527469493,3-Layer LSTM,Alcohol
134,0.594149410568754,1.19719156539185,3-Layer LSTM,Alcohol
135,9.224349674425627,11.562247849557414,3-Layer LSTM,Alcohol
136,2.277106130331003,7.522180147726888,3-Layer LSTM,Alcohol
137,10.069855373894855,14.227612415684955,3-Layer LSTM,Alcohol
138,10.616449793970043,13.64342444045523,3-Layer LSTM,Alcohol
139,15.518351183933953,22.31005406536824,3-Layer LSTM,Alcohol
140,4.058677533729725,5.588839068278753,1-Layer LSTM,Alcohol
141,21.23398718732222,26.992119485932093,1-Layer LSTM,Alcohol
142,11.736816450233361,14.550817226644375,1-Layer LSTM,Alcohol
143,3.8306954110203852,5.506906171821089,1-Layer LSTM,Alcohol
144,12.472363133702595,14.749171066978013,1-Layer LSTM,Alcohol
145,9.823489513907756,12.333556351504278,1-Layer LSTM,Alcohol
146,17.990141073195918,30.422709711055727,1-Layer LSTM,Alcohol
147,11.76891727075367,21.163295743088526,1-Layer LSTM,Alcohol
148,12.72010110054016,15.451453313990925,1-Layer LSTM,Alcohol
149,1.5976339356042737,2.4476814564919858,1-Layer LSTM,Alcohol
150,21.08514473385705,29.12261124001439,1-Layer LSTM,Alcohol
151,6.706568837742097,8.574242504952823,1-Layer LSTM,Alcohol
152,1.783908771329855,2.086895742117533,1-Layer LSTM,Alcohol
153,6.991343597684776,8.203845552402962,1-Layer LSTM,Alcohol
