,MAE,RMSE,Model,Dataset,Type
159,7.462228777673657,10.749036672973425,1-Layer LSTM,Alcohol,Idiographic
160,9.331655506548795,15.778051232735706,1-Layer LSTM,Alcohol,Idiographic
161,15.452383925405195,22.08414022806608,1-Layer LSTM,Alcohol,Idiographic
162,3.5496594120254525,9.860185892566722,1-Layer LSTM,Alcohol,Idiographic
163,17.000844270572998,24.47616864448754,1-Layer LSTM,Alcohol,Idiographic
164,1.17336175165306,4.823234844296795,1-Layer LSTM,Alcohol,Idiographic
165,14.18200696404742,23.139395564806428,1-Layer LSTM,Alcohol,Idiographic
166,8.910735354219613,13.633104986022758,1-Layer LSTM,Alcohol,Idiographic
167,17.479385258853128,22.74535583263342,1-Layer LSTM,Alcohol,Idiographic
168,3.449684255052936,4.728067106733056,GRU,Alcohol,Idiographic
169,18.571350273771948,21.91106153653046,GRU,Alcohol,Idiographic
170,16.604735703359005,20.117489155534503,GRU,Alcohol,Idiographic
171,5.151150437377931,10.21035774142045,GRU,Alcohol,Idiographic
172,11.605623722127651,15.005357271796353,GRU,Alcohol,Idiographic
173,11.96048494231726,15.685172785656208,GRU,Alcohol,Idiographic
174,13.547263287350386,23.020825575544105,GRU,Alcohol,Idiographic
175,8.447910802185088,13.759998659402418,GRU,Alcohol,Idiographic
176,10.267561214116904,13.278878723447525,GRU,Alcohol,Idiographic
177,1.7589700801943118,4.291430940139049,GRU,Alcohol,Idiographic
178,23.546112239177305,28.26955049551029,GRU,Alcohol,Idiographic
179,6.351779906967639,10.336851252234933,GRU,Alcohol,Idiographic
180,1.948970287504984,2.7346974271689923,GRU,Alcohol,Idiographic
181,8.9864187619167,16.570854298851156,GRU,Alcohol,Idiographic
182,13.802973718826143,29.275928582595967,GRU,Alcohol,Idiographic
183,19.377356055442327,24.116295510692733,GRU,Alcohol,Idiographic
184,6.935545099308813,8.691382632970612,GRU,Alcohol,Idiographic
185,2.895205397497965,6.581408386251799,GRU,Alcohol,Idiographic
186,12.734017812382737,16.42751050539757,GRU,Alcohol,Idiographic
187,6.470816624680702,9.830740153925678,GRU,Alcohol,Idiographic
188,7.272895138177467,13.476490067093668,GRU,Alcohol,Idiographic
189,14.306862264534994,21.12600131945152,GRU,Alcohol,Idiographic
190,3.646105521563181,10.255551549893228,GRU,Alcohol,Idiographic
191,16.379446864128113,22.67943484119413,GRU,Alcohol,Idiographic
192,1.007986500382125,4.4668150978010726,GRU,Alcohol,Idiographic
193,14.876389257285908,21.840032737912317,GRU,Alcohol,Idiographic
194,8.463575830585079,14.363630823519175,GRU,Alcohol,Idiographic
195,16.967392608515066,23.32418583555745,GRU,Alcohol,Idiographic
581,5.308534324548268,7.982813351934051,Elastic Net,Alcohol,Nomothetic
582,18.52613409884371,20.49355174027907,Elastic Net,Alcohol,Nomothetic
583,14.92848723737812,17.99480742359362,Elastic Net,Alcohol,Nomothetic
584,6.449362313223935,11.448842389741822,Elastic Net,Alcohol,Nomothetic
